,stem,class,ergative,plural,translation
995,ингушай,II,ингушайли,ла,ингушка
996,инжил,III,инжилли,ла,рел. евангелие
997,инжинерлъи,IV,инжинерлъила,ла,"инженерство, профессия инженера; инжинерлъи йовал работать инженером, выполнять обязанности инженера; инжинерлъилаъ огьдāл работать инженером  135"
998,инжитлъи,IV,инжитлъила,ла,"1) унижение; обида 2) мучение 3) перен. низость, подлость"
999,инкар,III,инкарли,ла,"отказ, отрицание; инкар гаьчIел без отказа; инкар бовал отказаться; гьолцо лъиниъназу инкар бōс он от всего отказывается"
1000,инкъилаб,IV,инкъилабли,ла,уст. революция; переворот
1001,инкълъи,IV,инкълъила,ла,глухота; инкълъиладдāла хъогьдāл ахъеэш изза глухоты не смог учиться
1002,инсанийат,III,инсанийатли,ла,человечество
1003,инсанлъи,IV,инсанлъила,ла,"1) человечество 2) благородство, человечность; инсанлъи гаьгьийо сукIо благородный человек; инсанлъи йегалал проявить человечность"
1004,инситут,IV,инситутли,ла,институт; инситутлиъ лъугьзи ахъал поступить в институт; инситутлиъ хъогьдāл учиться в институте; инситут йуькьлаьл окончить институт
1005,интирнат,III,интирнатли,ла,"интернат, школаинтернат; интинатлис гьалмагъ интернатовский товарищ;  136 интирнатлиъ хъогьдāл учиться в школеинтернате; см. ишколаинтинат"
1006,ирга,III,иргала,а,"очередь, черед; букъо ирга большая очередь; ирга бовал организовать очередь; иргалакьа бецал встать в очередь ♦ ирга мокъал а) подходить (об очереди) б) наступить свой час (букв. очередь прийти); ирга мокъойо энкьеш у каждого свой час (букв. очередь наступивший уходит)"
1007,иргьам,III,иргьамли,ла,надежда; дие букъо иргьам гей дӯкьа у меня большая надежда на тебя (есть) ♦ иргьам гулал видение видеть; см. йегāл йитIлал
1008,ирс,IV,ирсли,ла,"наследство; ирслис къай наследственные вещи; ирслиъ йихъойо билIо дом, доставшийся по наследству"
1009,ирхи,IV,ирхила,йа,стая птиц; ихувāс ирхи стая уток; батIилāс ирхи стая гусей ♦ ирхилаъ мокъеэш шуьгоьшоьваь а) необъезженная лошадь б) неотесанный человек (букв. в табуне не бывавшая лошадь)
1010,ирхъи,IV,ирхъила,йа,табун; шуьгоьлаьш ирхъи табун лошадей; ирхъилахъа энкьал пасти табун лошадей
1011,исайо,IV,исайойа,йа,"смерть, кончина, гибель, утрата; исāйо йахъал умереть"
1012,иси,II,иси,йа,"сестра; абос иси тетя (по отцу); исис кид племянница, дочь"
1013,иславар,IV,иславарли,ва,словарь; уруслис иславар словарь русского языка; бежкьаласна урус мицасна иславар бежтинскорусский словарь; иславар йохал купить (приобрести) словарь
1014,исло,I,ислоли,ва,дядя (обращение к старшему человеку)
1015,иследовател,I,иследователли,ла,следователь; судлис иследовател судебный следователь; иследователлис хъулухъ должность следователя
1016,иследователлъи,IV,иследователлъила,ла,"должность (работа, профессия) следователя; иследователлъи йовал работать следователем; иследователлъилаъ огьдāл работать следователем"
1017,ислъи,IV,ислъила,ла,"1) родство, родственники; илос ислъи наши родственники 2) дружба, братство; ислъи лъази йовал объявить о дружбе, провозгласить дружбу (букв. объявить братство)"
1018,испичка,IV,испичкали,а,спички; коробка спичек; испичкалис уьчI спичка; испичкалис къути коробка спичек; испичка лъишелал зажечь спичку; см. пицкIа
1019,испутник,III,испутникли,ла,спутник; испутник мейал отправить спутник (на орбиту)
1020,исраплъи,IV,исраплъила,ла,"расточительность, расточительство, мотовство; транжирство; йукъо исраплъи большое расточительство;"
1021,истакан,II,истаканли,ла,"стакан; цIикалиш истакан стеклянный стакан; истаканлис онкьо дно стакана; гьӣнс истакан стакан молока; истакан йишелал разбить стакан; см. тIакани, чIика"
1022,истаж,III,истажли,ла,стаж; букъо истаж большой стаж; лъан(а)лIис истаж трехлетний стаж; гьаьлтIилас истаж стаж работы; истаж бахъал образоваться (о стаже); пенсийалил истаж оьлаьл быть достаточным для назначения пенсии по старости (о стаже)
1023,истанок,IV,истанокли,ла,станок; истанокликьа огьдāл работать на станке
1024,истанцийа,IV,истанцийали,а,"станция; автобуслис истанцийа автобусная станция, автостанция; истанцийалис билIо здание автостанции; инстанцийалиъ автобусла йейаченна (гей) на автостанции стоят автобусы (есть)"
1025,истарапил,IV,истарапилли,ла,стропила
1026,историйа,III,историйали,ла,история;
1027,историклъи,IV,историклъила,ла,профессия (работа) историка (преподавателя истории); историклъилаъ огьдāл работать историком (преподавателем истории)
1028,истук,III,истукли,ла,игр. стук; тук тук; истук бовал стучать; см. къāпI
1029,истIилав,II,истIилав,ла,племянник
1030,истIилай,II,истIилай,ла,"1) жена брата, невестка 2) племянница"
1031,истIиъолI,IV,истIиъолIли,ла,"бот. перец (красный, молотый); цIинилийаъ истIиъолI йенйал добавить перец в квашеную капусту"
1032,истIоли,III,истIолийа,йа,стол; оьнкъоь(н)букьос истIоли четырехугольный стол; гомордийо истIоли круглый стол; истIолийас хаьбāь ножки стола; истIолийакьа кьодо на столе; истIолийалI лIийо гедо гей под столом кошка (есть)
1033,итни,IV,итнила,йа,понедельник; итни водо понедельник; итни водиъ иси шаьгьаьрбаьъаьш йонкъойо сестра приехала из города в понедельник
1034,ихтийар,III,ихтийарли,ла,"1) право, полномочие; огьдāл ихтийар право на труд 2) разрешение; ихтийар нилIал разрешить; ихтийар бокIал просить разрешения; ихтийар гаьчIел без разрешения"
1035,ихтилат,III,ихтилатли,ла,"вечеринка, веселье, веселое времяпрепровождение; букъо ихтилат большая вечеринка; ихтилат бовал веселиться; ихтилатлиъ зукъал участвовать в вечеринке; см. ихтилаткеп"
1036,иху,III,ихули,ва,зоол. утка; гьаьлдийо иху белая утка; ихулис цIемуцI яйцо утки; ихува кикзи йовагьал содержать уток
1037,ицилолъи,IV,ицилолъила,ва,"старость, старение"
1038,ицIова,IV,ицIовали,ва,"бот. сорная трава, сорняк; муькъоьъоьш ицIова йагъойо (//йолъолло) посевы ячменя очистили от сорняков."
1039,ишкIола,IV,ишкIолали,а,"школа; белIенлIис ишкIола восьмилетняя школа; ацIон гьонслIис ишкIола одиннадцатиклассная школа, средняя школа; ишкIолалис партā школьные парты; ишкола йолъойо а) занятия в школах закончились б) окончил школу; ишкIолаъ дарсба йуьнхоьбаьлъийо в школе начались занятия (уроки)"
1040,ишколаинтирнат,III,ишколаинтирнатли,ла,школаинтернат; см. интинат // интирнат
1041,ишпионлъи,IV,ишпионлъила,ла,шпионаж; ишпионлъи йовал заниматься шпионажем
1042,иштагъ,III,иштагъли,ла,"уст. 1) надежда 2) мечта 3) желание, намерение"
1043,иштарап,III,иштарапли,ла,"штраф; букъо иштарап большой штраф; окколас иштарап денежный штраф; иштарап гулал наложить штраф; иштарап багъал взымать штраф, оштрафовать; см. анкIа"
1044,иштопи,III,иштопила,"['йа', 'ла']","стеклянная посуда (емкостью 10, 20 л)  метла поновому метет"
1045,ичелдаги,I,ичелдагийа,бичелдабагийа,свежевальщик
1046,ичелдāлъи,IV,ичелдāлъила,бичелдабāлъи,масд. учащ. 1) очищение 2) свежевание
1047,ичIей,III,ичIейба,"['йа', 'ба']","зоол. жеребенок; шуьгоьдāш ичIей жеребеноксамка, кобылка; соййадāс ичIей жеребеноксамец; алIон бицос ичIей семимесячный жеребенок ♦ ичIей боваллъийо охна мина букв. ты как с животом на жеребенка (так говорят о  беременной женщине со большим животом – плодом)  слишком"
1048,иш,III,ишли,ла,"дело, работа; кIетIо иш хорошая работа, хорошее дело; дибо сийо ишди гей? какое твое дело? ♦ бикинаб иш мужественный поступок (букв. мужское дело)"
1049,ишара,III,ишарали,а,"1) знак, сигнал 2) метка, отметка, пометка; ишара гулал"
1050,иᴴхъ,I,иᴴхъли,ла,"1) тушинец, грузин (житель"
1051,йабо,III,йаболи,ва,1) зоол. кляча 2) перен. ленивый человек
1052,йазихлъи,IV,йазихлъила,ва,1) бедствование 2) беспомощность
1053,йакъут,IV,йакъутли,ла,яхонт
1054,йакIō,IV,йакIōли,ва,"анат. родинка, родимое пятно"
1055,йакIо,IV,йакIи,"['ва', 'да']",сердце
1056,йал,IV,йалли,ба,"молотьба; йал йолал молотить ♦ йалбаъ лIинйеэш (// мекьеэш) онс неотесанный (необученный) человек (букв. в молотьбу не запряженный, не пущенный бык); йал йоцлал самим разобраться (выпутываться) из какогол. случая (дела) (букв. молотьбу затоптать); йал киклал а) размягчиться (о соломе во время молотьбы) чтол. б) довести до ума, находить решение и решить (букв. молотьбу облегчить); йалбаъ онсилъийо йовал буйствовать (букв. вести себя бык во время молотьбы); йалбаъ онсцой (й)ахъца букв. как при молотьбе бык ведёт (так говорят о нечистоплотных женщинах и мужчинах);"
1057,йанвар,III,йанварли,ла,январь; йанвар боцо январь месяц; йанварлиъ (// йанваллиъ) онз гӯйо в январе выпал снег; йанваллиъ каникулла йāхъийо (// йуьнхоьбаьлъийо) в январе были (начались) каникулы
1058,йāсим,III,йāсимли,ла,ясин (молитва над умирающим); отходная; йасим хъовал читать ясин; йāсим йакIкьа бикъал знать наизусть молитву ясин
1059,йастукъ,III,йастукъли,ла,"подушка (тляд.); см. балиша, састIули"
1060,йатаб,IV,йатабли,ла,уст. этап (о способе пересылки заключенных); йатаблиъ эзал высылать (отправить) этапом
1061,йатимлъи,IV,йатимлъила,ла,сиротство; йатимлъи йегāл вырости в сиротстве; см. бестIаллъи
1062,йахо,III,йахоли,ва,миф. домовой; йахо митуцIна домовой душит
1063,йаццал,II,йаццалли,ла,"кузина, двоюродная сестра; ийос йаццал двоюродная сестра мамы; йаццалис оьжоь сын двоюродной сестры; абола йаццалис кид дочь двоюродной сестры отца"
1064,йаццаллъи,IV,йаццаллъила,ла,"1) сродство (родственные отношения между двоюродными сестрами) 2) двоюродные сестры, кузины; дие тели йаццаллъи гей у много двоюродных сестер (есть)"
1065,йач,IV,йачли,ла,анат. козья шерсть; цаннас йач козья шерсть; йачлис сабали толстая веревка из козьей шерсти;
1066,йашур,III,йашурли,ла,вет. ящур; йашур унти ящур; гьаьмаьн йашур унтилаъ кIокIал болеть ящуром (о скотине)
1067,йаьгь,III,йаьгьли,ла,"1) честь, совесть; йаьгь гаьгьийо сукIо честный человек; человек с чистой совестью; йаьгь бегалал показать свою честь 2) терпение; йаьгь бовал терпеть ♦ йаьгь безал терпеть, вынести терпеливо (букв. терпение"
1068,ламус,III,ламусли,ла,"честь, совесть; добропорядочность; йаьгьламус гаьччоь сукIо бессовестный человек; йаьгьламус гаьгьийо сукIо добропорядочный (совестливый) человек ▲"
1069,йаьже,IV,йаьжи,йаьжбоь // йа,"слово; кIетIо йаьже хорошее (доброе) слово ♦ йукъо йаьже нецензурное слово, бранное слово, обидное слово, непристойное слово (букв. большое слово); йаьжис сукIо хозяин слова; йаьже аьнгъаьъ йенкьал слушаться, делать (выполнять) сказанное, подчиняться (букв. слово в ухо идти); йаьжгъой йаьже нисал пререкаться, перечить, возразить, говорить наперекор (букв. слово за слово сказать); йаьжгъой къацIиццаъ гоцIохъаъас за словом в карман (в кожаную суму) не полезет; сразу находит нужное слово; йаьже йахъал ссориться, ругаться, браниться (букв. слово возникать); йаьже йенхал получить нагоняй, ругать за чтол. (букв. слово коснуться); йаьже йинхъал а) получить согласие на брак от родителей (благословление) б) получить от когол. упрек, упрекнуть (букв. слово получить); йаьже йекIал ругать кого л., бранить;  147 йаьже илIал выразить соболезнование (букв. слово вызвать, пригласить); йаьже йокIал а) свататься, получить согласие на брак б) просить слова; йаьже йохал а) охрипнуть б) держать слово, выполнить обещанное (данное слово) в) принимать соболезнование (букв. слово купить, слово держать); йаьже йохцас аьдаьмлаь люди (со стороны покойника), принимающие соболезнование (букв. слово держащие люди); йаьже йохцас сукIо почитаемый, авторитетный человек (букв. слово держащий человек); йаьже йугъолал а) не сдержать слова, нарушить слово б) расторгнуть бракосочетание (букв. слово умерщвлять); йаьже къē гулал не выполнить порученное (возложенное) дело, нарушить обещание, обмануть (букв. слово на землю положить); йаьже нилIал а) дать слово (согласие), обещать б) предоставить слово, дать возможность выступить в) дать согласие на бракосочетание (букв. слово дать); йаьже нисал ругать когол., бранить (букв. слово сказать); йаьже сикIаъ гаьгьийаъ не успев договорить слово, очень быстро (букв. слово во рту находясь); йаьже хаьбаьлаьлI гулал не выполнить порученное (возложенное) дело, нарушить обещание, обмануть (букв. слово под ноги положить); йаьжид боркьизи йовал ругать, бранить, осыпать ругательствами (букв. словом заставить вспотеть); йаьжис сукIо хозяин слова (букв. человек слова); сид йаьжкьаь инхъолал поймать на (одном) слове; гьонс йаьжкьаь одним голосом; йаьжкьас кьурзи ахъаъас от сказанного не отказывается, не нарушает обещанное (букв. от слова не отворачивается); йаьжлāьъ мокъал ругаться (браниться) друг с другом (букв. на слова прийти) ▲"
1070,йаьжоь,IV,йаьжоьли,да,"деревянный несущий брус, регель; см. мета, михъо"
1071,йаькъ,IV,йаькъли,ба,"ноша, вьюк, груз; йаькъ йезал нести ношу; перевозить груз; йаькъ тухълал навьючить груз ♦ йаькъ кьодос йолъал освободиться от проблем (забот, хлопот) (букв. от груза сверху освободиться)"
1072,маьтаьгь,IV,маьтаьгьли,ба,"оружие, необходимое снаряжение"
1073,йаьчIчIоьлъи,IV,йаьчIчIоьлъила,ба,1) холод 2) озноб; ощущение холода
1074,йаьшикI,III,йаьшикIба,ба,ящик; гьудас йаьшикI деревянный ящик
1075,йаᴴко,IV,йаᴴколи,ба,"1) навоз; мицалъ йанко чIалIал удобрять землю навозом 2) кизяк; йанко йекIелал сжигать кизяк ♦ йанкоъос бетIелацой лахдас букв. как навозный червяк шевелится а) так  говорят о медлительном, неторопливом человеке) б) так говорят о ребенке, который неспокойно спит ▲"
1076,йаᴴкогь,IV,"['йаᴴкогьли', 'йаᴴкогьба']",ба,колодка для вязаных носков
1077,йаᴴкъо,IV,йаᴴкъа,ба,"1) суп; борщ; бульон; холос йанкъо мясной бульон; чIотIилас йанкъо суп из фасоли 2) каша; симиндийалас йанкъо каша из кукурузной муки (мамалыга); куракбас н йа къо каша из кураги 3) раствор; мизас йанкъо глиняный раствор; цементIийас йанкъо цементный раствор; йанкъо йовал 2) приготовить бульон (кашу) б) делать раствор ♦ йанкъал энкьал сильно пьянеть, вдребезги пьянеть (букв. в кашу идти, в кашу превратиться)"
1078,йаᴴлIахъо,III,йаᴴлIахъоли,ва,"кул. ятлахо (лепешка, испеченная из кукурузной муки с семенами конского щавеля); см. йанлIаъко"
1079,йаᴴлIаъко,III,йаᴴлIаъколи,ва,кул. разновидность лепешки (испеченной на горячей золе)
1080,йаᴴсо,IV,йаᴴсоли,ва,"размер, мерка; йансолид йонсо йансāл измерить стену меркой"
1081,йаьᴴде,IV,йаьᴴдели,йа,штабель дров; гьудас йаьнде штабель дров; тели йаьндайа штабеля дров; буьчIийа гьудас
1082,йаьᴴчоь,IV,йаьᴴчаь,йаьнчоьваь,"1) слюна; йаьнчоь гӯс слюни текут 2) плевок; йаьнчоь туьлIаьл плевать ♦ йаьнчоь йаьнчийцIлал проявить выдержку, набраться терпения (букв. слюну проглотить); йаьнчоь йуьнхаьл слюнки текут (напр. при виде вкусной пищи) (букв. слюна наворачиваться)"
1083,йез,IV,йезли,йаьнчоьваь,"бронза; см. мазгар, мих"
1084,йоᴴкьойо,IV,йоᴴкьойова,йаьнчоьваь,объедки; йекйонкьойо кен остатки пищи (букв. упавшаяобщипанная еда)
1085,йеко,IV,йеколи,йаьнчоьваь,мелкий рогатый скот мясной породы; йеко боцIи мелкий рогатый скот мясной породы
1086,йекIос,IV,йекIосли,йаьнчоьваь,мед. потница; йекIос чIалIал появиться (о потнице)
1087,йехакIи,IV,йехакIийа,йаьнчоьваь,вет. мастит; йехакIи йахъал болеть маститом
1088,йецукь,IV,йецукьли,ла,анат. язычок
1089,йецI,III,йецIли,ла,"веяло, деревянный четырехугольный лоток (для очистки зерна после молотьбы); йецIлид муькъоь йанцолал чистить зерно в деревянном лотке (веяле)"
1090,йеᴴлъ,IV,йеᴴлъли,ла,"масло; жир; йикьейо йенлъ сливочное масло; йуцолло йенлъ топленое масло; кьодос йенлъ сливки; сметана; йенлъ йагъал (// йикьал) сбивать масло; йенлъ йенхелал мазать маслом ♦ йенлъ йогиццал йовал долго (продолжительно, длительно) делать (приготовить) чтол. (напр., особенно еду) (букв. до появления масла делать); йенлълъийо ахъал стать мягким, нежным (по характеру) (букв. стать как масло); къура йенлълъийо къова чистый (аккуратный) ребенок; йенлъна нуцонацой гей в дружбе, в согласии (живут) (букв. как мёд и масло есть) ▲"
1091,хелтукI,IV,хелтукIли,ла,крючок; килос йенхелтукIла железные крючки; н йе хелтукIла йенйахелал цеплять крючки; йенхелтукIла мухунакьа йāьᴴхъаьл пришить крючки к платью
1092,йига,IV,йигали,а,ключ; раьгьаьйбаьш йига ключ от замка; итIино йига маленький ключ; йигалид раьгьаьй йагъал ключом открыть замок ♦ машиналис йига а) заводная ручка б) гаечный ключ в) ключ зажигания (букв. ключ автомобиля)
1093,йигā,IV,йигāли,йа,"заготовка (для топорища, веретена); онгис йигā заготовка топорища; йигāлис анкь рукоятка, сделанная из заготовки"
1094,йигъла,IV,йигълали,а,анат. ляжка; йигъла холос ляжка мяса; гьаьймаьллис йигъла ляжка мяса крупного рогатого скота
1095,йизазо,IV,йизазоли,ва,"1) название детали ткацкого станка 2) шомпол; ср. ризазо (тдяд., хаш.)"
1096,йийакьас,IV,йийакьасли,ва,"опара; йийакьас гулал опару поставить, заквасить тесто (букв. опару ставить)"
1097,йик,IV,йикли,ла,анат. сало (свиное или медвежье)
1098,йикъо,IV,йикъоли,ва,"1) нож бульдозера, грейдерный нож; йикъолис шеблаъас килла боковые закрепляющие железки ножа бульдозера; йикъолид онз йолъолал чистить дорогу от снега грейдерным ножом 2) деревянное устройстиво для сбрасывания снега с плоских крыш; кьамакьас йикъолид онз чIалIал деревянным устройством сбрасывать снег с плоских крыш  160"
1099,йис,IV,йисли,ла,"анат. 1) глотка; горло 2) передняя часть шеи; итIино йис маленькая глотка; йис йохал // йислилI йохал схватить за глотку (за горло); йис йуьчIаьл резать шею ♦ йисликьа йонкъоцал по горло, до отвала (букв. на горло доходя); йислилъ къулIлIо гицIлал (// гулал) торопиться, спешить (букв.  161 под шею разветвленную палку подложить, ставить); йислилI кIиц гулал а) душить когол. петлей на шее б) заставить когол. делать чтол. (независимо от того, возможно или невозможно это выполнить) (букв. под шею узелок ставить); йислилI охал а) схватить за горло б) перен. взять за горло (букв. за шею держать); йислилI цIитI йенхелал резать, зарезать (букв. под горло ножом дотронуться)"
1100,йиххолъи,IV,йиххолъила,ла,"тепло, теплота; билIоъ йиххолъи чIаьлъаьъаьш в доме не чувствуется тепло"
1101,йицало,IV,йицалоли,ва,бот. кора; хъохъō йицало сухая кора; йицало йагъал снять кору с дерева
1102,йицна,IV,йицнали,а,моток (шерстяных ниток); йукъо йицна большой моток; йицна йовал сделать моток; тели лъӯнс йицнā много мотков шерстянных ниток
1103,йиᴴцо,IV,йиᴴцоли,да,ручка; доьнчаьлаьш йинцо ручка кружки; н чайдарлис йи цо ручка чайника; йинцо йохал держать за ручку; йинцода гаьччоь шаг кастрюля без ручек
1104,йогъо,IV,йогъоли,"['ва ', 'да']","уздечка; соййас йогъо уздечка коня ♦ йогъо н йе хелал а) взять под уздцы б) перен. обуздать, сдержать, усмирить, укротить; йогъодакьа бохеэш шуьгоь а) необъезженный жеребец б) молодой неопытный человек (букв. в уздечку не загнанная лошадь); йогъодакьа йохал держать в определенной рамке, управлять кем.л. (напр., женой) (букв. держать в узде, взять уздцы когол.); йогъодакьас йенццакал выходить из определенных рамок, выйти изпод контроля (букв. с узды вырваться); йогъодакьас мегьна бахъеэш соййа неугомонный человек; непослушный человек; человек, которого нельзя оставлять без присмотра (букв. конь, которого нельзя отпускать с уздечки) ▲"
1105,йодойса,IV,йодойсаа,"['ва ', 'да']",йодойса (вязаные шерстяные носки с длинными голенищами); йодойсā йовагьал вязать шерстяные носки с длинными голенищами
1106,йокь,IV,йокьли,ла,локоть (мера длины); йокьнас сабали толстая веревка (бечева) длиной в один локоть ▲
1107,йолка,III,йолкала,а,1) бот. ель 2) ёлка
1108,йохо,IV,йохоли,ва,цепь или проволока (на которой подвешивается кастрюля ); йохолкьа хъазан бохолал на цепь повесить чугун (сосуд)
1109,йоьгъин,IV,йоьгъина,ва,шерсть весенней стрижки; йоьгъинас лейби матрас из шерсти весенней стрижки
1110,йоьргъаьлликьако,III,йоьргъаьлликьаколи,ва,"пододеяльник, чехол; даьраьйбаьш йоьргъаьлликьако пододеяльник из шелка; йоьргъаьлликьако маьхъаьл сшить пододеяльник"
1111,йоьргъаьн,III,йоьргъаьнли,ла,"одеяло; лъунс йоьргъаьн шерстяное одеяло; биххо йоьргъаьн теплое одеяло; йоьргъаьллис гъечIи материал (ткань) для одеяла; йоьргъаьн готал стелить одеяло; йоьргъаьн мокъолал укрывать одеялом; см. сабани, адийал"
1112,йоьхичI,III,йоьхичIа,"а,ла",серп; йинъо йугъойо йоьхичI тупой
1113,йоьхоьш,IV,йоьхоьшбаь,"а,ла","пряжа, шерстяные нитки; йоьхоьш йовал делать пряжу; йоьхоьшбаьш цIиндā йовагьал вязать носки из шерстяных ниток ♦ йоьхоьшбаьш бацIай гаьгьийо сукIо бедный (несостоятельный) человек (букв. для брюк шерстяные помочи имеющий человек); йоьхоьшбаьш геза гаьгьийо сукIо бедный (несостоятельный) человек (букв. шерстяная пуговица имеющий человек)"
1114,йоьᴴтIоь,IV,йоьᴴтIоьли,ва,ниша; йукъо йоьнтIоь большая ниша; гилъилло йоьнтIоь глубокая ниша; йоьнтIоь йовал делать нишу
1115,йусагь,IV,"['йусагьли', 'йусагьба']",ба,"1) потолочная доска; йусагь йенйал настелить потолочными досками 2) линейка; йанкъойцIойо йусагь прямая линейка 3) плинтус; йусагь йаькьелал прибить плинтус ♦ йусагьбакьа йагъоваъцой ровно, прямо, точно (букв. как будто по линейке пропустили)"
1116,йуьгьи,IV,йуьгьила,ла,канавка; къекъкъо йуьгьи широкая канавка; йуьгьи йагъал (// йовал) делать (прорыть) канавку; йуьгьилаъкьā лъи йенкьеш по канавке идет вода
1117,йуьж,IV,"['йуьжли', 'йуьжба']",ла,бот. калина гордовина; йуьжбаьш хоьхоь дерево калины гордовины
1118,йуьлъ,IV,йуьлъбаь,ла,бот. боярышник кровянокрасный
1119,йуьргъаь,IV,йуьргъаьла,ла,"1) аллюр 2) иноходь ♦ анъунс йуьргъаь йахъаъас бесполезно когол чемул. учить (чтол. просить, требовать) (букв. у осла аллюра не бывает)"
1120,йуьргъаьхъаьн,III,йуьргъаьхъаьнли,ла,иноходь; йуьргъаьхъаьн соййаслъийо чIан быстрый (стремительный) бег (букв. бег как у быстроходного коня)
1121,шуьгоь,III,шуьгоьли,ва,иноходец; або кIетIо йуьргъаьшуьгоь бохийо отец купил хорошего иноходца
1122,кабардийав,I,кабардийавли,ла,кабардинец
1123,кабардийай,II,кабардийайли,ла,кабардинка
1124,кав,IV,кавли,ла,ворота; килос кав железные ворота; кавлис анц калитка ворот; кав гулал установить ворота; кав гъесал закрыть ворота; або ицIцIо кав гулло отец поставил (установил) новые ворота
1125,кади,III,кадила,ла,"1) ходьба, хождение; гьонсна болъеэш кади постоянное хождение 2) проход; движение; вагьло кади гъесал нуцIос этот проход нужно закрыть"
1126,казахав,I,казахавли,ла,казах
1127,казахай,II,казахайли,ла,казашка
1128,кайлIойо,IV,кайлIойоли,ва,"молния; кайлIō йекийо (// йенхейо) молния ударила ♦ кайлIōцой (// кайлIойоцой) йоъал исчезать мгновенно, очень быстро (букв. как молния исчезнуть); кайлIова шаьъаьтбаьъ йонкъал быстро вернуться (возвращаться); см. пӣ, пил, пири (тляд.)"
1129,кайта,III,кайтали,а,кул. кайта (масса хинкала из кукурузной муки с сыром); кайта бовал приготовить кайту; см. хилIогаьччоь
1130,как,IV,какли,ла,"рел. намаз, молитва; служба; хискьас как утренний намаз; лIобакьас как обеденный намаз; нисдāс как предвечерний намаз; марчIокIолъсо как вечерний намаз; боглалъцо как ночной намаз; паризийаб как обязательный намаз; суннатаб как необязательный (дополнительный) намаз; как йуьнхоьлълал начинать молиться, совершать намазы; как йовал совершить намаз; молиться; как йечаннайал перестать молиться ♦ какликьа йецал постоянно молиться (совершать намазы) (букв. на намазы сидеть); каклис заманцой мокъал наступить смертному часу (в предписанное время) (букв. как время намаза прийти) ▲"
1131,какамади,IV,какамадийа,йа,ожерелье; чIуьгьаьраьб какамади красивое ожерелье; билъалъ какамади йенхелал повесить ожерелье на шею
1132,кIал,IV,кIалли,йа,"рел. столпы ислама (букв. намазпост); каккIал йовал соблюдать столпы ислама (молиться и поститься) ♦ каккIал гаьччоь сукIо неверующий человек, немусульманин (букв. намазпост не имеющий человек)"
1133,каклилIко,IV,каклилIколи,ва,"намазлык (коврик, постилаемый при совершении намаза); каклилIко готал постлать намазлык; каклилIко йолъолал убрать намазлык; см. какогь"
1134,како,III,каколи,ва,"толстая (шириной 10–15 см) длинная балка; каковāс кало заграждение (забор) из балок; бихало како длинная балка; калаъ како тукIал делать забор из балок, использовать балки для забора"
1135,какогь,IV,какогьли,ла,намазлык (из деревянных досок); ванас какогь деревянный намазлык; какогь йовал делать намазлык; какогьбакьа как йовал совершить намаз на намазлыке; см. каклилIко
1136,калам,III,каламли,ла,"слово; речь; разговор; калам нисал сказать, молвить слово ♦ калам гаьччоь сукIо молчаливый (неразговорчивый) человек"
1137,калас,IV,каласба,ба,в разн. знач. класс; йукъо калас большой класс (помещение); алIнас калас седьмой класс; дие иси лъинасла каласбаъ (// лъиниъ) хъогьдас моя сестра учится в пятом классе
1138,калбатун,III,калбатунли,ла,щипцы; до калбатуллид мукъо багъойо я выдернуть гвоздь щипцами
1139,калкал,III,калкалли,ла,"помеха, препятствие; букъо калкал большое препятствие (помеха); калкал бахъал создаваться, образоваться (о помехах); калкал бовал создавать помехи (препятствия), ставить преграды, затруднять; калкал гаьчIел без помех (препятствий)"
1140,калмали,III,калмалийа,йа,"уст. чарыки (местная обувь на толстой кожаной подметке); калмалийана гийахена векā мāькьаь мекьейо надев чарыки, чабаны отправились на пастбище"
1141,калмикав,I,калмикавли,ла,калмык
1142,калмикай,II,калмикайли,ла,калмычка
1143,кало,IV,кала,ва //да,"забор; гьудас кало деревянный забор; кало гулал загородить; кало йовал сделать забор; гьуги калалI тилI огицIийо он прыгнул через забор ♦ калагъас къӣ а) паук б) паутина (букв. заборная паутина); кала бохаъцас бура гулящий парень, ловелас (букв. забором не удерживаемый бычок); кала бохеэш шуьгошоьвалъийо сукIо неуровновешенный, необузданный человек (букв. как лошадь, не удерживаемая ограждением, человек); кало гаьччоь кIисо название узора на бежтинских вязаных сапогах (букв. игра без забора, заграждения); калаъ кIемусацой оъал как сквозь землю провалиться, исчезнуть (букв. как в заборе ящерица пропасть); калаъ кIемусдолана сиддā эцаъцас сукIо очень активный (энергичный) человек; человек, который быстро перемещается с одного места на другое (букв. как ящерица заборе, на одном месте не сидящий человек)"
1144,калхоз,IV,калхозли,ла,колхоз; калхозлиъ огьдāл работать в колхозе ♦ калхозлилцой тохъи баькьелаьл делать какуюлибо работу поверхностно и без особых усилий (букв. как для колхоза делать прополку) ▲
